345,ED,ED
346,CW,MC
347,MC,PP
348,CC,CW
349,CE,CE
350,MC,MC
351,EO,EO
352,MT,MT
353,MC,MC
354,CC,CW
355,CC,CC
356,CE,PP
357,MC,MC
358,ED,ED
359,EO,EO
360,ED,ED
361,IA,CW
362,MC,CW
363,CE,MC
364,EO,EO
365,CW,MC
366,CE,CE
367,CC,CC
368,PP,PP
369,MT,MT
370,ED,ED
371,CE,CW
372,CE,EO
373,EO,EO
374,CC,CC
375,CE,IA
376,CC,CC
377,EO,EO
378,PP,PP
379,EO,CE
380,CW,CW
381,MC,PP
382,MT,MT
383,PP,PP
384,CW,CE
385,CE,CW
386,MT,EO
387,MC,MC
388,MT,PP
389,CE,CE
390,CC,CC
391,CE,CE
392,PP,PP
393,CC,CC
394,CC,CC
395,ED,ED
396,PP,PP
397,MC,MC
398,ED,ED
399,PP,PP
400,EO,EO
401,CE,CE
402,ED,ED
403,CC,CC
404,ED,ED
405,ED,ED
406,PP,MT
407,MT,PP
408,MT,PP
409,MT,MT
410,IA,ED
411,MT,CE
412,MT,PP
413,CC,CC
414,ED,ED
415,CW,CW
416,CE,CW
417,CW,CW
418,IA,IA
419,MT,PP
420,MC,MC
421,EO,IA
422,CC,ED
423,EO,IA
424,ED,CW
425,MC,CW
426,CW,CW
427,PP,PP
428,CC,CC
429,MC,CW
430,CW,CE
431,CW,CE
432,PP,PP
433,CE,ED
434,PP,MT
435,EO,EO
436,EO,EO
437,MT,MT
438,MT,MT
439,CC,CC
440,CE,CE
441,CC,CC
442,CW,MC
443,CW,CW
444,EO,EO
445,MC,IA
446,EO,EO
447,EO,EO
448,MC,MC
449,CC,CW
450,CW,CW
451,PP,MC
452,CE,CE
453,MC,MC
454,PP,CW
455,EO,EO
456,MC,EO
457,IA,CW
458,CW,CW
459,ED,ED
460,MT,PP
461,PP,CW
462,EO,EO
463,CW,CW
464,IA,CC
465,CE,CE
466,MC,CE
467,CE,CE
468,ED,ED
469,CW,CW
470,ED,CE
471,CW,CW
472,MT,PP
473,EO,EO
474,PP,PP
475,ED,IA
476,MT,MT
477,CE,CE
478,CC,CE
479,ED,ED
480,IA,PP
481,CW,CW
482,CE,CE
483,CE,CE
484,MC,CW
485,EO,EO
486,CC,CC
487,CW,EO
488,CW,PP
489,CC,CC
490,MT,PP
491,ED,ED
492,ED,EO
493,ED,ED
494,PP,ED
495,MT,IA
496,ED,ED
497,ED,ED
498,ED,ED
499,CE,CW
500,IA,PP
501,EO,EO
502,MT,MT
503,MC,MC
504,MC,ED
505,MC,MC
506,MC,IA
507,CE,CE
508,EO,EO
509,ED,ED
510,CW,MC
511,CW,CW
512,CC,CW
513,ED,ED
514,PP,EO
515,MC,MC
516,CC,CC
517,IA,IA
518,CW,CW
519,CE,CE
520,CC,CC
521,MC,MC
522,ED,ED
523,ED,CC
524,CW,CW
525,CE,CE
526,MC,PP
527,PP,IA
528,EO,CW
529,CC,CC
530,EO,EO
531,PP,PP
532,IA,MC
533,CW,EO
534,PP,PP
535,EO,EO
536,CW,CW
537,CE,CW
538,IA,IA
539,MC,MC
540,CW,MT
541,PP,IA
542,EO,IA
543,CE,CE
544,EO,CE
545,CE,CE
546,CC,CW
547,CE,CE
548,CE,CE
549,EO,CW
550,CE,CE
551,CE,MT
552,EO,CE
553,MT,MT
554,MC,MC
555,CC,CC
556,ED,CC
557,CC,CC
558,IA,CE
559,CC,IA
560,CE,CE
561,CE,CE
562,MT,MT
563,PP,MT
564,CC,CC
565,CW,CW
566,EO,PP
567,MT,ED
568,MC,IA
569,CE,CE
570,CE,CE
571,ED,ED
572,MT,EO
573,PP,CW
574,CW,MC
575,MC,MC
576,CE,CW
577,IA,IA
578,IA,CW
579,CE,CE
580,CW,PP
581,ED,ED
582,EO,PP
583,CW,CW
584,CE,PP
585,CW,IA
586,CW,MC
587,CC,CC
588,MC,MC
589,MC,MC
590,CE,CE
591,EO,CE
592,ED,ED
593,CW,CW
594,EO,EO
595,EO,EO
596,CE,CE
597,MC,CC
598,EO,MT
599,CW,CC
600,CW,CW
601,PP,PP
602,MC,MC
603,ED,ED
604,PP,PP
605,CE,CE
606,CW,CW
607,CE,IA
608,MC,IA
609,CC,CW
610,CC,CC
611,CE,CE
612,ED,ED
613,PP,MT
614,MC,CW
615,MC,MC
616,EO,EO
617,MC,EO
618,EO,EO
